日期,广告活动,商品编码,平台,站点,类目,曝光,点击,花费,订单数,销量,广告销售额,总销售额,单位成本,退款金额,币种
2026-08-23,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,38092,731,1040.21,23,25,4975,6368,118,102.72,MXN
2026-08-23,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,25227,609,3461.09,19,21,13629,18821,462,574.16,MXN
2026-08-23,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,20938,530,764.77,14,15,3885,5957,158,55.99,MXN
2026-08-23,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,15422,298,1507.34,6,6,2574,3432,340,80.15,MXN
2026-08-24,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,27877,567,731.08,15,17,3383,4577,118,80.3,MXN
2026-08-24,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,20571,394,2292.39,14,15,9735,12331,462,432.9,MXN
2026-08-24,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,15988,340,377.48,8,8,2072,2849,158,35.48,MXN
2026-08-24,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,12906,317,1865.77,7,7,3003,4290,340,109.21,MXN
2026-08-25,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,31487,993,1462.52,30,32,6368,8159,118,121.9,MXN
2026-08-25,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,22848,573,3464.23,21,23,14927,22715,462,2057.93,MXN
2026-08-25,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,17300,491,564.14,11,12,3108,4662,158,52.68,MXN
2026-08-25,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,12112,361,1678.8,7,7,3003,3861,340,70.37,MXN
2026-08-26,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,31518,942,1131.25,28,28,5572,7960,118,82.3,MXN
2026-08-26,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,20635,585,3677.07,22,23,14927,19470,462,2022.45,MXN
2026-08-26,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,14462,422,423.69,9,9,2331,2849,158,40.53,MXN
2026-08-26,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,13356,331,1402.12,6,6,2574,3432,340,65.08,MXN
2026-08-27,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,25164,717,888.15,20,22,4378,5771,118,108.78,MXN
2026-08-27,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,23136,440,2465.34,15,16,10384,14278,462,1049.23,MXN
2026-08-27,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,15674,464,565.17,12,12,3108,4662,158,50.31,MXN
2026-08-27,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,11488,248,1283.47,5,5,2145,3003,340,54.62,MXN
2026-08-28,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,28240,703,772.29,19,19,3781,4776,118,78.36,MXN
2026-08-28,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,25088,668,3984.69,24,25,16225,23364,462,1723.22,MXN
2026-08-28,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,15029,367,546.2,9,10,2590,3367,158,60.26,MXN
2026-08-28,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,11847,311,1634.09,6,6,2574,3861,340,85.26,MXN
2026-08-29,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,32244,712,978.21,22,23,4577,6368,118,109.86,MXN
2026-08-29,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,26347,776,4265.75,27,29,18821,25960,462,2015.52,MXN
2026-08-29,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,17692,524,734.73,13,14,3626,4662,158,64.59,MXN
2026-08-29,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,15248,339,1727.94,7,7,3003,4290,340,75.45,MXN
2026-08-30,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,39794,826,1283.36,25,28,5572,7363,118,103.79,MXN
2026-08-30,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,29993,867,5414.12,30,34,22066,33099,462,2839.37,MXN
2026-08-30,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,22206,561,696.44,13,14,3626,4921,158,69.96,MXN
2026-08-30,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,18558,386,1628.46,7,7,3003,4290,340,97.96,MXN
2026-08-31,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,29050,612,879.62,20,20,3980,5174,118,81.97,MXN
2026-08-31,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,22143,557,3590.38,21,24,15576,20119,462,1399.86,MXN
2026-08-31,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,17302,444,514.04,11,11,2849,3367,158,51.17,MXN
2026-08-31,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,13715,387,2280.64,8,9,3861,5577,340,144.4,MXN
2026-09-01,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,30378,608,647.81,16,16,3184,4378,118,53.15,MXN
2026-09-01,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,19944,636,3135.85,20,21,13629,18172,462,1555.62,MXN
2026-09-01,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,18833,530,753.25,14,15,3885,4921,158,63.88,MXN
2026-09-01,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,15363,360,1906.4,7,7,3003,3861,340,99.15,MXN
2026-09-02,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,28581,561,672.99,15,15,2985,4179,118,72.11,MXN
2026-09-02,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,26069,477,3044.97,18,19,12331,18172,462,658.66,MXN
2026-09-02,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,15943,349,495.45,9,10,2590,3626,158,44.59,MXN
2026-09-02,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,12161,344,1743.21,7,7,3003,3432,340,77.5,MXN
2026-09-03,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,33161,783,1046.12,24,26,5174,7562,118,113.95,MXN
2026-09-03,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,21775,420,2088.84,13,13,8437,11033,462,311.19,MXN
2026-09-03,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,19279,367,406.44,8,8,2072,2849,158,27.73,MXN
2026-09-03,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,15908,287,1581.65,6,6,2574,3861,340,99.89,MXN
2026-09-04,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,35267,1120,1710.69,36,39,7761,10746,118,167.81,MXN
2026-09-04,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,23131,588,2779.09,19,19,12331,17523,462,596.72,MXN
2026-09-04,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,16022,343,485.57,9,9,2331,3108,158,50.41,MXN
2026-09-04,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,12893,376,2142.31,8,8,3432,4290,340,125.21,MXN
2026-09-05,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,36870,803,1020.75,22,25,4975,7164,118,69.94,MXN
2026-09-05,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,28515,739,3988.33,24,27,17523,24013,462,896.34,MXN
2026-09-05,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,20321,426,482.12,10,10,2590,3367,158,59.16,MXN
2026-09-05,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,15471,311,1545.74,6,6,2574,3003,340,82.95,MXN
2026-09-06,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,38950,870,1235.43,28,29,5771,8358,118,145.25,MXN
2026-09-06,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,27104,784,4545.65,27,29,18821,27258,462,909.95,MXN
2026-09-06,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,22562,612,934.86,17,18,4662,6475,158,77.04,MXN
2026-09-06,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,19565,521,2596.95,10,10,4290,6006,340,94.21,MXN
2026-09-07,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,34550,806,1125.3,25,25,4975,7164,118,89.62,MXN
2026-09-07,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,22513,519,2882.74,19,19,12331,16874,462,403.0,MXN
2026-09-07,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,18926,444,580.73,11,12,3108,3885,158,60.04,MXN
2026-09-07,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,15649,372,1824.21,7,7,3003,4290,340,69.32,MXN
2026-09-08,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,32684,627,850.32,19,19,3781,4577,118,90.83,MXN
2026-09-08,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,22980,619,3826.18,22,24,15576,22715,462,885.23,MXN
2026-09-08,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,18886,518,591.36,12,12,3108,3885,158,62.1,MXN
2026-09-08,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,14727,419,2256.94,9,9,3861,5577,340,96.68,MXN
2026-09-09,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,31778,925,1078.76,26,27,5373,7761,118,97.7,MXN
2026-09-09,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,23655,526,3146.41,20,22,14278,18172,462,827.62,MXN
2026-09-09,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,19633,496,628.62,12,12,3108,3885,158,42.79,MXN
2026-09-09,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,13340,289,1328.58,5,5,2145,2574,340,54.26,MXN
2026-09-10,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,29851,930,1123.92,25,27,5373,7960,118,85.88,MXN
2026-09-10,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,24397,656,3379.14,23,23,14927,21417,462,567.34,MXN
2026-09-10,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,19737,423,523.67,10,10,2590,3108,158,37.49,MXN
2026-09-10,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,13962,406,2162.95,8,8,3432,4719,340,83.34,MXN
2026-09-11,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,30271,601,765.38,16,17,3383,4179,118,70.63,MXN
2026-09-11,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,24241,483,2353.42,15,16,10384,12980,462,375.09,MXN
2026-09-11,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,19259,361,460.68,9,9,2331,3108,158,32.55,MXN
2026-09-11,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,13264,422,2384.7,9,9,3861,5577,340,103.51,MXN
2026-09-12,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,40233,772,1092.09,24,26,5174,7562,118,105.6,MXN
2026-09-12,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,33911,964,5487.71,34,38,24662,36344,462,1164.0,MXN
2026-09-12,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,24759,740,981.02,17,18,4662,6216,158,87.65,MXN
2026-09-12,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,18861,501,2894.22,11,11,4719,6435,340,167.24,MXN
2026-09-13,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,36311,691,849.71,19,20,3980,4975,118,62.33,MXN
2026-09-13,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,27432,549,3300.28,20,22,14278,21417,462,583.37,MXN
2026-09-13,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,20540,586,738.35,15,15,3885,5698,158,63.11,MXN
2026-09-13,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,20493,518,2493.0,10,10,4290,6006,340,138.65,MXN
2026-09-14,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,32265,790,841.3,21,21,4179,5174,118,70.17,MXN
2026-09-14,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,27007,809,4550.52,29,32,20768,31801,462,780.85,MXN
2026-09-14,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,17137,353,436.58,8,8,2072,2590,158,34.98,MXN
2026-09-14,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,17047,322,1577.18,6,6,2574,3003,340,75.77,MXN
2026-09-15,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,36378,839,1007.22,23,23,4577,5970,118,108.23,MXN
2026-09-15,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,24617,523,2694.61,17,17,11033,14927,462,561.26,MXN
2026-09-15,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,20189,548,685.18,13,13,3367,4403,158,75.41,MXN
2026-09-15,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,17905,489,2682.97,10,11,4719,6006,340,114.58,MXN
