订单编号,单量,总收入,佣金,附加费,运费,退货退款,净利润 (比索),Venta por publicidad,SKU,# de publicación
2000010306634276,2,391.34,-52.29,-15.34,-59.79,0.0,84.82,是,A-001,MLM4030008276
2000010306634283,1,205.51,-30.79,-5.09,-49.5,0.0,30.58,否,A-001,MLM4030008283
2000010306634290,1,263.99,-38.66,-11.9,-48.55,0.0,48.33,是,BS-002-BK,MLM4030008290
2000010306634297,1,648.52,-103.36,-30.55,-47.8,0.0,174.76,是,W009-DDJ,MLM4030008297
2000010306634304,2,408.99,-62.58,-12.99,-31.57,0.0,122.75,是,A-001,MLM4030008304
2000010306634311,1,266.68,-38.12,-10.63,-42.18,0.0,59.2,否,BS-002-BK,MLM4030008311
2000010306634318,1,435.43,-69.34,-12.57,-33.28,0.0,127.19,否,H-007,MLM4030008318
2000010306634325,2,402.71,-57.62,-13.71,-36.15,0.0,116.13,否,A-001,MLM4030008325
2000010306634332,2,399.26,-59.67,-16.17,-49.02,0.0,95.3,否,A-001,MLM4030008332
2000010306634339,1,204.75,-33.07,-4.24,-61.02,0.0,16.87,是,A-001,MLM4030008339
2000010306634346,1,206.26,-31.23,-5.85,-35.14,0.0,44.49,否,A-001,MLM4030008346
2000010306634353,2,522.52,-85.79,-22.28,-34.28,0.0,147.07,否,BS-002-BK,MLM4030008353
2000010306634360,1,448.42,-74.5,-14.98,-32.67,0.0,133.22,是,H-007,MLM4030008360
2000010306634367,2,852.41,-137.51,-22.93,-31.27,0.0,274.6,否,H-007,MLM4030008367
2000010306634374,1,268.9,-45.2,-8.88,-55.64,0.0,42.63,否,BS-002-BK,MLM4030008374
2000010306634381,2,384.99,-61.61,-10.49,-44.9,0.0,88.89,是,A-001,MLM4030008381
2000010306634388,1,264.43,-39.43,-5.94,-42.14,0.0,60.37,是,BS-002-BK,MLM4030008388
2000010306634395,2,417.59,-70.17,-11.06,-37.3,0.0,119.96,是,A-001,MLM4030008395
2000010306634402,1,441.17,-63.09,-15.08,-37.33,0.0,132.62,是,H-007,MLM4030008402
2000010306634409,2,820.6,-110.93,-32.85,-46.46,0.0,244.26,否,H-007,MLM4030008409
2000010306634416,2,1347.63,-201.89,-56.23,-31.51,0.0,473.9,是,W009-DDJ,MLM4030008416
2000010306634423,2,388.75,-62.89,-17.6,-50.16,0.0,79.0,否,A-001,MLM4030008423
2000010306634430,1,676.37,-110.28,-14.85,-35.27,-536.08,-312.16,是,W009-DDJ,MLM4030008430
2000010306634437,1,265.25,-42.08,-12.11,-58.2,0.0,36.31,是,BS-002-BK,MLM4030008437
2000010306634444,2,415.7,-56.5,-17.24,-47.79,0.0,115.07,否,A-001,MLM4030008444
2000010306634451,2,1290.33,-202.34,-32.58,-53.11,0.0,418.2,否,W009-DDJ,MLM4030008451
2000010306634458,1,640.54,-97.66,-30.75,-42.91,0.0,177.17,否,W009-DDJ,MLM4030008458
2000010306634465,2,516.71,-71.48,-12.66,-47.64,0.0,151.83,是,BS-002-BK,MLM4030008465
2000010306634472,2,1238.34,-191.15,-31.48,-36.65,0.0,394.96,否,W009-DDJ,MLM4030008472
2000010306634479,2,527.19,-88.51,-10.91,-51.59,0.0,143.08,否,BS-002-BK,MLM4030008479
2000010306634486,1,436.31,-59.37,-18.75,-57.61,0.0,107.53,否,H-007,MLM4030008486
2000010306634493,1,195.55,-29.78,-8.91,-51.25,0.0,16.06,是,A-001,MLM4030008493
2000010306634500,2,522.25,-85.08,-17.08,-28.67,0.0,158.32,是,BS-002-BK,MLM4030008500
2000010306634507,2,1249.11,-180.32,-50.22,-60.79,-937.97,-564.29,是,W009-DDJ,MLM4030008507
2000010306634514,1,679.79,-91.36,-29.47,-28.48,-610.27,-371.84,否,W009-DDJ,MLM4030008514
2000010306634521,2,414.13,-59.7,-19.11,-34.62,0.0,121.6,否,A-001,MLM4030008521
2000010306634528,1,625.81,-85.1,-24.02,-53.24,0.0,171.4,是,W009-DDJ,MLM4030008528
2000010306634535,2,869.01,-121.94,-35.12,-52.23,0.0,273.62,否,H-007,MLM4030008535
2000010306634542,2,396.64,-62.8,-11.36,-40.76,0.0,102.62,是,A-001,MLM4030008542
2000010306634549,1,193.66,-27.84,-7.17,-36.53,0.0,32.57,是,A-001,MLM4030008549
2000010306634556,2,408.58,-62.85,-13.75,-43.19,0.0,109.69,是,A-001,MLM4030008556
2000010306634563,1,627.38,-98.54,-21.02,-32.86,-581.17,-398.26,是,W009-DDJ,MLM4030008563
2000010306634570,1,641.92,-108.55,-16.34,-54.43,0.0,170.55,是,W009-DDJ,MLM4030008570
2000010306634577,2,892.86,-147.4,-44.11,-43.93,0.0,271.32,是,H-007,MLM4030008577
2000010306634584,1,266.24,-39.46,-8.45,-57.01,0.0,44.77,是,BS-002-BK,MLM4030008584
2000010306634591,1,442.85,-58.93,-15.62,-37.02,0.0,138.23,是,H-007,MLM4030008591
2000010306634598,1,203.76,-31.23,-8.35,-45.44,0.0,29.19,是,A-001,MLM4030008598
2000010306634605,1,203.96,-33.97,-5.09,-61.63,0.0,13.72,是,A-001,MLM4030008605
2000010306634612,1,202.61,-27.29,-4.63,-41.49,0.0,39.65,是,A-001,MLM4030008612
2000010306634619,2,509.44,-82.66,-11.17,-30.81,0.0,151.7,是,BS-002-BK,MLM4030008619
2000010306634626,1,668.54,-87.89,-26.75,-55.24,0.0,206.61,是,W009-DDJ,MLM4030008626
2000010306634633,1,665.59,-93.87,-13.72,-29.84,0.0,236.11,否,W009-DDJ,MLM4030008633
2000010306634640,2,865.12,-130.53,-18.23,-33.21,0.0,297.05,否,H-007,MLM4030008640
2000010306634647,1,268.36,-37.27,-8.42,-31.92,0.0,74.2,是,BS-002-BK,MLM4030008647
2000010306634654,2,1302.41,-190.23,-33.07,-38.74,-1092.39,-636.12,是,W009-DDJ,MLM4030008654
2000010306634661,1,254.61,-42.19,-8.8,-59.37,0.0,27.7,是,BS-002-BK,MLM4030008661
2000010306634668,2,1253.5,-165.09,-25.32,-31.58,0.0,447.41,是,W009-DDJ,MLM4030008668
2000010306634675,2,1284.22,-196.83,-25.77,-33.08,0.0,444.44,否,W009-DDJ,MLM4030008675
2000010306634682,2,1288.53,-208.62,-54.63,-32.77,0.0,408.41,是,W009-DDJ,MLM4030008682
2000010306634689,1,643.75,-93.16,-14.78,-29.32,0.0,214.44,是,W009-DDJ,MLM4030008689
2000010306634696,1,444.49,-74.87,-17.91,-56.6,0.0,102.06,是,H-007,MLM4030008696
2000010306634703,1,419.78,-60.88,-20.49,-29.73,0.0,115.63,否,H-007,MLM4030008703
2000010306634710,1,439.53,-62.09,-12.31,-46.39,0.0,125.69,否,H-007,MLM4030008710
2000010306634717,2,1328.32,-184.64,-55.43,-56.61,-979.2,-531.66,是,W009-DDJ,MLM4030008717
2000010306634724,1,411.24,-64.92,-17.58,-58.97,0.0,76.72,否,H-007,MLM4030008724
2000010306634731,2,848.15,-134.26,-19.08,-60.41,0.0,248.3,是,H-007,MLM4030008731
2000010306634738,1,271.26,-37.26,-8.94,-49.6,0.0,58.91,否,BS-002-BK,MLM4030008738
2000010306634745,1,654.87,-97.69,-25.94,-33.27,0.0,205.92,是,W009-DDJ,MLM4030008745
2000010306634752,1,666.59,-86.77,-19.31,-57.86,0.0,210.6,否,W009-DDJ,MLM4030008752
2000010306634759,2,870.17,-116.38,-28.73,-56.42,0.0,282.54,是,H-007,MLM4030008759
2000010306634766,1,424.32,-70.76,-15.9,-60.74,0.0,83.87,是,H-007,MLM4030008766
2000010306634773,2,521.57,-78.88,-25.15,-43.65,0.0,140.79,是,BS-002-BK,MLM4030008773
2000010306634780,1,252.45,-40.24,-7.51,-48.46,0.0,39.69,是,BS-002-BK,MLM4030008780
2000010306634787,1,435.62,-71.97,-20.19,-56.42,0.0,93.99,是,H-007,MLM4030008787
2000010306634794,1,438.49,-57.34,-11.02,-54.62,0.0,122.46,否,H-007,MLM4030008794
2000010306634801,2,1301.74,-214.99,-42.36,-39.13,-1023.27,-602.11,否,W009-DDJ,MLM4030008801
2000010306634808,1,621.69,-96.56,-15.36,-59.42,-589.97,-431.67,是,W009-DDJ,MLM4030008808
2000010306634815,1,670.47,-107.45,-26.03,-43.18,-467.69,-265.93,是,W009-DDJ,MLM4030008815
2000010306634822,2,380.08,-49.67,-12.57,-52.63,0.0,86.11,否,A-001,MLM4030008822
2000010306634829,2,1249.94,-177.01,-29.87,-33.62,0.0,425.34,否,W009-DDJ,MLM4030008829
2000010306634836,2,541.81,-75.49,-26.59,-40.15,0.0,166.48,是,BS-002-BK,MLM4030008836
2000010306634843,1,264.38,-38.38,-7.43,-40.61,0.0,61.41,否,BS-002-BK,MLM4030008843
2000010306634850,1,419.98,-68.98,-18.21,-29.42,0.0,110.32,是,H-007,MLM4030008850
2000010306634857,1,634.64,-95.71,-20.96,-35.96,0.0,189.96,是,W009-DDJ,MLM4030008857
2000010306634864,1,428.06,-61.68,-11.42,-58.96,0.0,102.95,是,H-007,MLM4030008864
2000010306634871,2,1276.27,-193.2,-41.86,-35.43,0.0,421.68,是,W009-DDJ,MLM4030008871
2000010306634878,1,434.57,-57.32,-16.69,-38.0,0.0,129.51,否,H-007,MLM4030008878
2000010306634885,2,842.57,-131.87,-30.17,-28.5,0.0,265.93,是,H-007,MLM4030008885
2000010306634892,1,651.52,-89.24,-24.38,-42.19,0.0,203.66,是,W009-DDJ,MLM4030008892
2000010306634899,1,624.04,-95.08,-12.97,-45.9,0.0,178.04,是,W009-DDJ,MLM4030008899
2000010306634906,2,410.48,-64.71,-9.5,-45.08,0.0,112.09,是,A-001,MLM4030008906
2000010306634913,2,818.48,-112.32,-40.05,-37.2,0.0,242.81,否,H-007,MLM4030008913
2000010306634920,2,854.3,-143.6,-21.9,-46.32,0.0,256.38,否,H-007,MLM4030008920
2000010306634927,2,522.22,-88.3,-25.87,-47.97,0.0,126.98,否,BS-002-BK,MLM4030008927
2000010306634934,2,530.67,-80.19,-12.07,-45.61,0.0,159.7,是,BS-002-BK,MLM4030008934
2000010306634941,2,389.22,-51.16,-19.12,-33.94,0.0,105.9,是,A-001,MLM4030008941
2000010306634948,2,823.53,-124.09,-38.64,-34.06,0.0,240.64,是,H-007,MLM4030008948
2000010306634955,1,268.88,-45.22,-8.99,-60.53,0.0,37.59,否,BS-002-BK,MLM4030008955
2000010306634962,1,410.43,-55.58,-8.81,-41.58,0.0,111.41,否,H-007,MLM4030008962
2000010306634969,2,510.54,-79.38,-24.12,-53.67,0.0,120.27,是,BS-002-BK,MLM4030008969
2000010306634976,1,632.35,-90.88,-26.66,-45.64,0.0,177.12,是,W009-DDJ,MLM4030008976
2000010306634983,1,419.09,-66.69,-18.85,-49.63,0.0,90.87,否,H-007,MLM4030008983
2000010306634990,1,269.81,-45.06,-10.89,-57.25,0.0,40.06,否,BS-002-BK,MLM4030008990
2000010306634997,1,662.4,-93.08,-18.28,-56.66,-590.31,-387.98,否,W009-DDJ,MLM4030008997
2000010306635004,1,642.59,-100.89,-13.26,-49.13,0.0,187.26,否,W009-DDJ,MLM4030009004
2000010306635011,1,260.16,-36.55,-6.2,-59.28,0.0,41.58,是,BS-002-BK,MLM4030009011
2000010306635018,1,414.57,-60.16,-15.85,-44.82,0.0,100.69,是,H-007,MLM4030009018
2000010306635025,2,494.8,-78.59,-9.95,-53.15,0.0,120.01,否,BS-002-BK,MLM4030009025
2000010306635032,2,1257.98,-179.52,-48.41,-46.16,0.0,399.79,否,W009-DDJ,MLM4030009032
2000010306635039,2,535.19,-81.09,-13.35,-35.28,0.0,172.37,是,BS-002-BK,MLM4030009039
2000010306635046,2,1291.52,-175.75,-34.79,-41.87,0.0,455.01,否,W009-DDJ,MLM4030009046
2000010306635053,2,1354.12,-222.72,-60.71,-30.69,-1184.55,-728.65,是,W009-DDJ,MLM4030009053
2000010306635060,2,830.52,-109.02,-36.11,-31.85,0.0,267.44,否,H-007,MLM4030009060
2000010306635067,2,527.05,-74.07,-12.56,-44.93,0.0,162.39,是,BS-002-BK,MLM4030009067
2000010306635074,1,654.78,-94.25,-26.93,-49.79,0.0,191.76,是,W009-DDJ,MLM4030009074
2000010306635081,2,412.08,-66.38,-12.17,-47.66,0.0,106.77,否,A-001,MLM4030009081
2000010306635088,1,267.82,-39.29,-10.02,-30.27,0.0,71.69,是,BS-002-BK,MLM4030009088
2000010306635095,1,414.55,-66.04,-12.82,-59.88,0.0,82.76,是,H-007,MLM4030009095
2000010306635102,1,197.14,-29.14,-9.28,-30.32,0.0,38.85,是,A-001,MLM4030009102
2000010306635109,2,1361.44,-180.97,-29.54,-50.6,0.0,516.23,是,W009-DDJ,MLM4030009109
2000010306635116,2,398.74,-61.05,-12.52,-54.12,0.0,91.95,是,A-001,MLM4030009116
2000010306635123,2,1251.92,-196.75,-27.27,-41.24,0.0,402.56,否,W009-DDJ,MLM4030009123
2000010306635130,2,510.94,-68.67,-18.09,-60.23,0.0,130.85,否,BS-002-BK,MLM4030009130
2000010306635137,2,1292.39,-211.35,-42.4,-30.28,-1218.27,-794.01,否,W009-DDJ,MLM4030009137
2000010306635144,2,888.58,-146.95,-37.44,-31.85,0.0,286.24,是,H-007,MLM4030009144
2000010306635151,2,508.69,-73.97,-10.56,-43.97,0.0,147.09,是,BS-002-BK,MLM4030009151
2000010306635158,1,427.29,-70.05,-14.46,-30.17,0.0,119.56,是,H-007,MLM4030009158
2000010306635165,2,847.9,-116.12,-23.64,-54.93,0.0,267.11,是,H-007,MLM4030009165
2000010306635172,1,438.59,-67.65,-18.67,-59.37,0.0,99.85,是,H-007,MLM4030009172
2000010306635179,2,524.93,-75.48,-26.03,-50.31,0.0,140.01,是,BS-002-BK,MLM4030009179
2000010306635186,2,899.27,-151.52,-34.91,-31.08,0.0,295.66,是,H-007,MLM4030009186
2000010306635193,1,205.02,-26.73,-7.07,-42.45,0.0,39.22,否,A-001,MLM4030009193
2000010306635200,1,409.28,-64.38,-9.02,-55.24,0.0,87.59,否,H-007,MLM4030009200
2000010306635207,2,900.75,-121.93,-18.78,-31.37,0.0,342.57,是,H-007,MLM4030009207
2000010306635214,2,1235.06,-181.32,-39.39,-31.55,0.0,398.7,是,W009-DDJ,MLM4030009214
2000010306635221,2,881.37,-121.8,-18.44,-54.68,0.0,300.35,是,H-007,MLM4030009221
2000010306635228,1,207.58,-28.01,-9.24,-37.47,0.0,43.31,是,A-001,MLM4030009228
2000010306635235,1,653.36,-105.81,-13.19,-39.71,0.0,202.6,是,W009-DDJ,MLM4030009235
2000010306635242,2,1362.14,-208.57,-49.52,-33.0,0.0,486.95,是,W009-DDJ,MLM4030009242
2000010306635249,1,197.82,-29.46,-9.17,-36.92,0.0,32.72,是,A-001,MLM4030009249
2000010306635256,2,826.56,-115.38,-22.94,-36.56,0.0,265.58,是,H-007,MLM4030009256
2000010306635263,2,819.75,-120.38,-39.97,-32.47,0.0,240.83,否,H-007,MLM4030009263
2000010306635270,1,441.56,-63.69,-21.16,-42.22,0.0,121.44,否,H-007,MLM4030009270
2000010306635277,1,413.48,-68.09,-11.68,-46.05,0.0,94.61,是,H-007,MLM4030009277
2000010306635284,2,415.58,-54.32,-15.14,-55.37,0.0,111.65,否,A-001,MLM4030009284
2000010306635291,2,390.61,-62.18,-11.48,-37.28,0.0,100.57,否,A-001,MLM4030009291
2000010306635298,1,258.88,-35.97,-8.99,-51.84,0.0,45.53,是,BS-002-BK,MLM4030009298
2000010306635305,2,830.46,-136.57,-24.14,-36.32,0.0,247.33,否,H-007,MLM4030009305
2000010306635312,1,194.12,-31.03,-6.71,-59.04,0.0,7.79,否,A-001,MLM4030009312
2000010306635319,2,866.58,-123.97,-40.5,-60.15,0.0,255.86,是,H-007,MLM4030009319
2000010306635326,2,816.22,-126.79,-36.66,-32.0,0.0,234.67,否,H-007,MLM4030009326
2000010306635333,2,1308.97,-188.4,-56.32,-54.91,0.0,425.24,是,W009-DDJ,MLM4030009333
2000010306635340,1,207.57,-31.85,-10.27,-31.54,0.0,44.36,否,A-001,MLM4030009340
2000010306635347,1,415.35,-69.42,-10.44,-37.97,0.0,104.47,是,H-007,MLM4030009347
2000010306635354,2,1250.38,-194.92,-57.26,-61.32,0.0,352.78,否,W009-DDJ,MLM4030009354
2000010306635361,2,1259.84,-203.98,-36.33,-35.49,0.0,399.94,否,W009-DDJ,MLM4030009361
2000010306635368,2,383.98,-63.55,-16.77,-40.47,0.0,84.09,是,A-001,MLM4030009368
2000010306635375,1,444.64,-71.8,-21.1,-42.72,0.0,115.97,否,H-007,MLM4030009375
2000010306635382,2,833.89,-118.97,-21.52,-46.98,0.0,260.32,是,H-007,MLM4030009382
2000010306635389,2,1352.84,-176.63,-32.87,-38.77,-1005.08,-484.61,是,W009-DDJ,MLM4030009389
2000010306635396,2,1261.65,-213.31,-59.09,-43.41,0.0,361.74,否,W009-DDJ,MLM4030009396
2000010306635403,1,194.1,-31.0,-6.7,-43.87,0.0,22.98,否,A-001,MLM4030009403
2000010306635410,1,197.01,-27.08,-6.66,-52.74,0.0,20.98,是,A-001,MLM4030009410
2000010306635417,2,886.85,-148.23,-28.35,-36.84,0.0,287.33,否,H-007,MLM4030009417
2000010306635424,2,1322.36,-217.49,-37.38,-31.02,-1152.34,-699.97,否,W009-DDJ,MLM4030009424
2000010306635431,1,649.32,-86.5,-27.73,-34.8,-499.23,-290.99,否,W009-DDJ,MLM4030009431
2000010306635438,1,669.11,-105.44,-30.99,-56.14,-441.24,-256.75,是,W009-DDJ,MLM4030009438
2000010306635445,2,895.35,-134.98,-36.33,-50.61,0.0,287.33,是,H-007,MLM4030009445
2000010306635452,1,266.45,-39.33,-6.43,-39.87,0.0,64.27,否,BS-002-BK,MLM4030009452
2000010306635459,2,844.06,-136.95,-23.46,-55.73,0.0,241.82,否,H-007,MLM4030009459
2000010306635466,2,502.01,-74.48,-16.93,-34.93,0.0,142.57,是,BS-002-BK,MLM4030009466
2000010306635473,1,203.99,-28.9,-7.11,-45.35,0.0,33.08,是,A-001,MLM4030009473
2000010306635480,2,1331.03,-214.72,-60.33,-42.55,0.0,429.33,否,W009-DDJ,MLM4030009480
2000010306635487,1,257.6,-38.42,-9.63,-56.4,0.0,36.6,是,BS-002-BK,MLM4030009487
2000010306635494,1,254.82,-34.99,-11.71,-36.02,0.0,55.55,否,BS-002-BK,MLM4030009494
2000010306635501,1,261.4,-42.79,-8.15,-32.65,0.0,61.26,是,BS-002-BK,MLM4030009501
2000010306635508,1,618.17,-90.36,-26.12,-53.35,-600.57,-444.28,否,W009-DDJ,MLM4030009508
2000010306635515,2,838.77,-120.13,-36.81,-49.94,0.0,245.79,否,H-007,MLM4030009515
2000010306635522,2,831.06,-124.16,-39.01,-34.97,0.0,246.82,是,H-007,MLM4030009522
2000010306635529,2,1271.98,-210.89,-41.73,-52.66,0.0,382.6,是,W009-DDJ,MLM4030009529
